"YEAR","JURISDICTION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"VIC","26-39","Speed Fines","Auto camera enforcement",1956,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto camera enforcement",502,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto camera enforcement",338,0,0
2024,"VIC","40-64","Speed Fines","Auto camera enforcement",882,0,0
2024,"VIC","40-64","Speed Fines","Auto camera enforcement",3176,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto camera enforcement",85,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto camera enforcement",124,0,0
2024,"VIC","65 and over","Speed Fines","Auto camera enforcement",377,0,0
2024,"VIC","65 and over","Speed Fines","Auto camera enforcement",1306,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto camera enforcement",330,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto camera enforcement",163,0,0
2024,"VIC","Unknown","Speed Fines","Auto camera enforcement",32,0,0
2024,"VIC","Unknown","Speed Fines","Auto camera enforcement",119,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Speed Fines","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Speed Fines","Auto camera enforcement",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto camera enforcement",290,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto camera enforcement",260,0,0
2024,"VIC","17-25","Speed Fines","Auto camera enforcement",3335,0,0
2024,"VIC","17-25","Speed Fines","Auto camera enforcement",2263,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto camera enforcement",1402,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto camera enforcement",1167,0,0
2024,"VIC","26-39","Speed Fines","Auto camera enforcement",12612,0,0
2024,"VIC","26-39","Speed Fines","Auto camera enforcement",8905,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto camera enforcement",1884,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto camera enforcement",1662,0,0
2024,"VIC","40-64","Speed Fines","Auto camera enforcement",21894,0,0
2024,"VIC","40-64","Speed Fines","Auto camera enforcement",13426,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto camera enforcement",289,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto camera enforcement",521,0,0
2024,"VIC","65 and over","Speed Fines","Auto camera enforcement",6792,0,0
2024,"VIC","65 and over","Speed Fines","Auto camera enforcement",4162,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto camera enforcement",1223,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto camera enforcement",954,0,0
2024,"VIC","Unknown","Speed Fines","Auto camera enforcement",1063,0,0
2024,"VIC","Unknown","Speed Fines","Auto camera enforcement",625,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Speed Fines","Auto camera enforcement",0,0,0
